,artist,year,year
,count,amin,amax
acro-jazz-laboratories,4,2013,2013
dan-bull,4,2012,2013
filastine,4,2014,2014
cj-flemings,4,2016,2016
gospel-gangstaz,4,2008,2009
eldo,4,2009,2014
donny-goines,4,2012,2014
5-sterne-deluxe,4,2006,2006
anuel-aa,4,2016,2016
drumma-boy,4,2012,2013
flow-rida,4,2007,2009
d-money-pros,4,2010,2013
edo-maajka,4,2006,2012
bandomoss,4,2016,2016
cam-meekins,4,2012,2014
doughboyz-cashout,4,2013,2014
d-bo,4,2012,2013
baiyu,4,2013,2013
baek-ji-young,4,2012,2015
cypher-clique,4,2013,2016
cyne,4,2011,2012
candace-jones,4,2007,2008
elemental,4,2006,2010
donaeo,4,2009,2014
fly-street-gang,4,2012,2014
da-beatminerz,4,2008,2008
da-lench-mob,4,2008,2008
corey-latif-williams,4,2010,2011
grande-marshall,4,2013,2016
da-t-r-u-t-h,4,2016,2016
fowl,4,2013,2015
40-glocc,4,2010,2014
a-b,4,2009,2014
b-real,4,2011,2015
ed-sheeran-yelawolf,4,2012,2012
dohzi-t,4,2013,2013
andre-3000,3,2010,2013
fintelligens,3,2012,2014
aston-matthews,3,2016,2016
ariez-onasis,3,2012,2013
another-bad-creation,3,2008,2008
afrika-bambaataa,3,1998,2016
drei-ros,3,2014,2014
asa,3,2014,2014
babeo-baggins,3,2016,2016
drew-sidora,3,2009,2010
ducko-mcfli,3,2016,2016
euphonik,3,2016,2016
dunson,3,2013,2014
eddie-writer,3,2011,2012
andrew-e,3,2006,2010
bloody-jay,3,2013,2014
ess-vee,3,2012,2013
el-general,3,2006,2008
dj-snake-lil-jon,3,2014,2014
eldorado-red,3,2013,2013
eminem-d12,3,2008,2013
alex-sandunga,3,2013,2015
ali-gipp,3,2006,2008
big-baby-gandhi,3,2013,2013
e-dubble,3,2012,2014
albe-back,3,2010,2015
emmune,3,2013,2013
big-pun,3,2008,2014
don-martin,3,2014,2014
fresh-linen,3,2012,2013
dj-kool,3,2006,2008
english-frank,3,2012,2012
don-p,3,2012,2016
dj-green-lantern,3,2012,2013
bad-azz,3,2008,2008
aviation,3,2006,2007
dj-envy,3,2008,2015
dj-efn,3,2015,2016
atypical,3,2013,2013
bitza,3,2012,2012
bizarre,3,2008,2014
anamanaguchi,3,2013,2014
ali-g,3,2016,2016
archie-bang,3,2014,2014
attitude,3,2012,2013
